Rounds,Depth,mcw,r_sample,c_sample,eta,scale_pos_weight,auc_max,std,best_round
3000,4,1,0.6,0.6,0.005,2,0.841379,0.0145666,1532.8
3000,4,1,0.6,0.6,0.005,3,0.8411568,0.0142664,1405.66666666667
3000,4,1,0.6,0.7,0.05,1,0.8405746,0.015451,184
3000,4,1,0.6,0.7,0.05,2,0.8398832,0.0149946,139.4
3000,4,1,0.6,0.7,0.05,3,0.8406644,0.0147328,147.8
3000,4,1,0.6,0.7,0.01,1,0.8413146,0.0150668,880
3000,4,1,0.6,0.7,0.01,2,0.8409196,0.0150018,780.6
3000,4,1,0.6,0.7,0.01,3,0.8410138,0.0149958,794.5
3000,4,1,0.6,0.7,0.005,1,0.8414884,0.0149652,1702
3000,4,1,0.6,0.7,0.005,2,0.8415116,0.0148316,1665.33333333333
3000,4,1,0.6,0.7,0.005,3,0.841447,0.0146842,1703.66666666667
3000,4,1,0.7,0.5,0.05,1,0.8407048,0.0146392,199.666666666667
3000,4,1,0.7,0.5,0.05,2,0.8408924,0.0145682,162
3000,4,1,0.7,0.5,0.05,3,0.8406968,0.014586,177.833333333333
3000,4,1,0.7,0.5,0.01,1,0.841205,0.0146046,911
3000,4,1,0.7,0.5,0.01,2,0.8415404,0.0145498,907.5
3000,4,1,0.7,0.5,0.01,3,0.84149,0.0145744,889.666666666667
3000,4,1,0.7,0.5,0.005,1,0.8413722,0.014659,1785.57142857143
3000,4,1,0.7,0.5,0.005,2,0.841402,0.0145456,1587.83333333333
3000,4,1,0.7,0.5,0.005,3,0.8411612,0.0144628,1385.8
3000,4,1,0.7,0.6,0.05,1,0.8406026,0.014825,191.8
3000,4,1,0.7,0.6,0.05,2,0.8400972,0.0148344,198
3000,4,1,0.7,0.6,0.05,3,0.840151,0.0145324,154.666666666667
3000,4,1,0.7,0.6,0.01,1,0.8411696,0.0147732,905.6
3000,4,1,0.7,0.6,0.01,2,0.8415208,0.0149878,998
3000,4,1,0.7,0.6,0.01,3,0.8411302,0.0146766,893
3000,4,1,0.7,0.6,0.005,1,0.8414496,0.0147502,1720.6
3000,4,1,0.7,0.6,0.005,2,0.8415038,0.0147998,1779.2
3000,4,1,0.7,0.6,0.005,3,0.841144,0.0147412,1521.2
