Rounds,Depth,r_sample,c_sample,eta,scale_pos_weight,auc_max,best_round
300,7,0.85,0.8,0.05,1,0.840759,95
300,7,0.85,0.8,0.05,10,0.838858,34
300,7,0.85,0.8,0.05,24.2726063829787,0.835977,35
300,7,0.85,0.8,0.01,0.8,0.838354,300
300,7,0.85,0.8,0.01,1,0.838937,300
300,7,0.85,0.8,0.01,10,0.839845,198
300,7,0.85,0.8,0.01,24.2726063829787,0.836902,138
300,7,0.85,0.8,0.005,0.8,0.833088,300
300,7,0.85,0.8,0.005,1,0.834737,300
300,7,0.85,0.8,0.005,10,0.839945,293
300,7,0.85,0.8,0.005,24.2726063829787,0.837224,298
300,7,0.85,0.85,0.05,0.8,0.840009,127
300,7,0.85,0.85,0.05,1,0.840792,123
300,7,0.85,0.85,0.05,10,0.838437,46
300,7,0.85,0.85,0.05,24.2726063829787,0.835496,40
300,7,0.85,0.85,0.01,0.8,0.838294,300
300,7,0.85,0.85,0.01,1,0.83886,299
300,7,0.85,0.85,0.01,10,0.839875,197
300,7,0.85,0.85,0.01,24.2726063829787,0.836427,138
300,7,0.85,0.85,0.005,0.8,0.833337,300
300,7,0.85,0.85,0.005,1,0.835083,300
300,7,0.85,0.85,0.005,10,0.83867,73
300,7,0.85,0.85,0.005,24.2726063829787,0.836758,299
500,5,0.65,0.75,0.05,0.8,0.841136,180
500,5,0.65,0.75,0.05,1,0.841385,137
500,5,0.65,0.75,0.05,10,0.840228,105
500,5,0.65,0.75,0.05,24.2726063829787,0.839957,78
500,5,0.65,0.75,0.01,0.8,0.840486,500
500,5,0.65,0.75,0.01,1,0.840818,500
500,5,0.65,0.75,0.01,10,0.841449,477
500,5,0.65,0.75,0.01,24.2726063829787,0.840549,356
500,5,0.65,0.75,0.005,0.8,0.834569,500
500,5,0.65,0.75,0.005,1,0.835661,500
500,5,0.65,0.75,0.005,10,0.840456,500
500,5,0.65,0.75,0.005,24.2726063829787,0.840064,500
500,5,0.65,0.8,0.05,0.8,0.841124,177
500,5,0.65,0.8,0.05,1,0.841445,158
500,5,0.65,0.8,0.05,10,0.840453,70
500,5,0.65,0.8,0.05,24.2726063829787,0.838881,68
500,5,0.65,0.8,0.01,0.8,0.840496,500
500,5,0.65,0.8,0.01,1,0.840718,500
500,5,0.65,0.8,0.01,10,0.841178,495
500,5,0.65,0.8,0.01,24.2726063829787,0.840245,307
500,5,0.65,0.8,0.005,0.8,0.835154,500
500,5,0.65,0.8,0.005,1,0.836019,500
500,5,0.65,0.8,0.005,10,0.840455,499
500,5,0.65,0.8,0.005,24.2726063829787,0.83995,496
500,5,0.65,0.85,0.05,0.8,0.840724,145
500,5,0.65,0.85,0.05,1,0.841008,137
500,5,0.65,0.85,0.05,10,0.840471,71
500,5,0.65,0.85,0.05,24.2726063829787,0.839036,68
500,5,0.65,0.85,0.01,0.8,0.84055,500
500,5,0.65,0.85,0.01,1,0.840576,500
500,5,0.65,0.85,0.01,10,0.841112,456
500,5,0.65,0.85,0.01,24.2726063829787,0.840145,367
500,5,0.65,0.85,0.005,0.8,0.835153,500
500,5,0.65,0.85,0.005,1,0.835975,500
500,5,0.65,0.85,0.005,10,0.840273,500
500,5,0.65,0.85,0.005,24.2726063829787,0.839777,500
500,5,0.75,0.75,0.05,0.8,0.84124,188
500,5,0.75,0.75,0.05,1,0.841363,167
500,5,0.75,0.75,0.05,10,0.840516,82
500,5,0.75,0.75,0.05,24.2726063829787,0.839582,82
500,5,0.75,0.75,0.01,0.8,0.84092,500
500,5,0.75,0.75,0.01,1,0.841165,500
500,5,0.75,0.75,0.01,10,0.841579,484
500,5,0.75,0.75,0.01,24.2726063829787,0.840541,398
500,5,0.75,0.75,0.005,0.8,0.834794,500
500,5,0.75,0.75,0.005,1,0.835685,500
500,5,0.75,0.75,0.005,10,0.840629,500
500,5,0.75,0.75,0.005,24.2726063829787,0.840123,498
500,5,0.75,0.8,0.05,0.8,0.840943,164
500,5,0.75,0.8,0.05,1,0.840944,164
500,5,0.75,0.8,0.05,10,0.840515,89
500,5,0.75,0.8,0.05,24.2726063829787,0.839921,71
500,5,0.75,0.8,0.01,0.8,0.840964,500
500,5,0.75,0.8,0.01,1,0.841136,500
500,5,0.75,0.8,0.01,10,0.841225,492
500,5,0.75,0.8,0.01,24.2726063829787,0.840463,447
500,5,0.75,0.8,0.005,0.8,0.835086,500
500,5,0.75,0.8,0.005,1,0.835816,500
500,5,0.75,0.8,0.005,10,0.840456,500
500,5,0.75,0.8,0.005,24.2726063829787,0.840151,500
500,5,0.75,0.85,0.05,0.8,0.84089,162
500,5,0.75,0.85,0.05,1,0.841204,175
500,5,0.75,0.85,0.05,10,0.84033,87
500,5,0.75,0.85,0.05,24.2726063829787,0.839232,87
500,5,0.75,0.85,0.01,0.8,0.840747,500
500,5,0.75,0.85,0.01,1,0.840984,500
500,5,0.75,0.85,0.01,10,0.841186,456
500,5,0.75,0.85,0.01,24.2726063829787,0.840311,417
500,5,0.75,0.85,0.005,0.8,0.835109,500
500,5,0.75,0.85,0.005,1,0.835915,500
500,5,0.75,0.85,0.005,10,0.840207,500
500,5,0.75,0.85,0.005,24.2726063829787,0.839932,500
500,5,0.85,0.75,0.05,0.8,0.841536,159
500,5,0.85,0.75,0.05,1,0.841142,158
500,5,0.85,0.75,0.05,10,0.840351,109
500,5,0.85,0.75,0.05,24.2726063829787,0.839829,68
500,5,0.85,0.75,0.01,0.8,0.840723,500
500,5,0.85,0.75,0.01,1,0.84091,500
500,5,0.85,0.75,0.01,10,0.841543,495
500,5,0.85,0.75,0.01,24.2726063829787,0.840477,356
500,5,0.85,0.75,0.005,0.8,0.83451,500
500,5,0.85,0.75,0.005,1,0.83561,500
500,5,0.85,0.75,0.005,10,0.840429,499
500,5,0.85,0.75,0.005,24.2726063829787,0.840034,500
500,5,0.85,0.8,0.05,0.8,0.841073,137
500,5,0.85,0.8,0.05,1,0.841218,165
500,5,0.85,0.8,0.05,10,0.840314,96
500,5,0.85,0.8,0.05,24.2726063829787,0.839823,76
500,5,0.85,0.8,0.01,0.8,0.840686,500
500,5,0.85,0.8,0.01,1,0.840871,500
